40;996;Double Indemnity;15.754;['Crime', 'Drama', 'Mystery', 'Thriller'];A rich woman and a calculating insurance agent plot to kill her unsuspecting husband after he signs a double indemnity policy. Against a backdrop of distinctly Californian settings, the partners in crime plan the perfect murder to collect the insurance, which pays double if the death is accidental.;8.1;1455;1944-06-14;2500000;927262;None;en;['Paramount']
41;935;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;16.374;['Drama', 'Comedy', 'War'];After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike.;8.141;4746;1964-01-29;9523464;1800000;None;en;['Columbia Pictures', 'Hawk Films']
42;1417;El laberinto del fauno;62.354;['Fantasy', 'Drama', 'War'];Living with her tyrannical stepfather in a new home with her pregnant mother, 10-year-old Ofelia feels alone until she explores a decaying labyrinth guarded by a mysterious faun who claims to know her destiny. If she wishes to return to her real father, Ofelia must complete three terrifying tasks.;7.75;9342;2006-10-10;83258226;19000000;None;es;['Telecinco Cinema', 'Estudios Picasso', 'Esperanto Filmoj', 'Tequila Gang']
43;38;Eternal Sunshine of the Spotless Mind;72.476;['Science Fiction', 'Drama', 'Romance'];Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.;8.103;12863;2004-03-19;72258126;20000000;None;en;['Anonymous Content', 'This Is That Productions', 'Focus Features']
44;5961;Fanny och Alexander;13.235;['Fantasy', 'Drama', 'Mystery'];As children in the loving Ekdahl family, Fanny and Alexander enjoy a happy life with their parents, who run a theater company. After their father dies unexpectedly, however, the siblings end up in a joyless home when their mother, Emilie, marries a stern bishop. The bleak situation gradually grows worse as the bishop becomes more controlling, but dedicated relatives make a valiant attempt to aid Emilie, Fanny and Alexander.;7.794;628;1982-12-17;6795771;6000000;None;sv;['Gaumont', 'Tobis', 'Svenska Filminstitutet', 'SVT', 'Cinematograph AB', 'Personafilm']
45;275;Fargo;19.287;['Crime', 'Drama', 'Thriller'];Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!;7.87;6770;1996-03-08;60611975;7000000;None;en;['PolyGram Filmed Entertainment', 'Working Title Films']
46;309;Festen;11.538;['Drama'];"A grandiose party to celebrate a sixtieth birthday unleashes a family drama with all the lies that conceal horrendous secrets. The eldest son, Christian, stages a showdown with the popular pater familias; his provocative, moving after-dinner speech dislodges all the masks, which finally fall completely as the father-son conflict intensifies and the bewildered guests look on.";7.738;808;1998-06-19;0;1300000;None;da;['DR', 'Nimbus Film', 'SVT']
47;550;Fight Club;113.239;['Drama', 'Thriller', 'Comedy'];"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.";8.429;25386;1999-10-15;100853753;63000000;None;en;['Regency Enterprises', 'Fox 2000 Pictures', 'The Linson Company', 'Taurus Film', 'Atman Entertainment', 'Knickerbocker Films']
48;12;Finding Nemo;104.647;['Animation', 'Family'];Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.;7.825;17115;2003-05-30;940335536;94000000;Finding Nemo Collection;en;['Pixar']
49;13;Forrest Gump;90.042;['Comedy', 'Drama', 'Romance'];A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.;8.48;23769;1994-06-23;677387716;55000000;None;en;['Paramount', 'Wendy Finerman Productions', 'The Steve Tisch Company']
